id_venta,id_producto,nombre_producto,cantidad,precio_unitario,importe
1,90,Toallas Húmedas x50,1.0,29020.0,2902.0
2,82,Aceitunas Negras 200g,5.0,23940.0,11970.0
2,39,Helado Vainilla 1L,5.0,4690.0,2345.0
2,70,Fernet 750ml,2.0,40610.0,8122.0
2,22,Medialunas de Manteca,1.0,20690.0,2069.0
2,79,Hamburguesas Congeladas x4,4.0,24200.0,9680.0
3,9,Yerba Mate Suave 1kg,2.0,38780.0,7756.0
3,2,Pepsi 1.5L,2.0,49730.0,9946.0
3,85,Jugo en Polvo Naranja,1.0,18560.0,1856.0
4,4,Fanta Naranja 1.5L,2.0,20330.0,4066.0
4,23,Bizcochos Salados,5.0,23800.0,11900.0
5,86,Jugo en Polvo Limón,4.0,40900.0,16360.0
6,25,Galletitas Vainilla,2.0,40150.0,8030.0
6,31,Mix de Frutos Secos 200g,3.0,34090.0,10227.0
6,83,Queso Untable 190g,1.0,18300.0,1830.0
6,59,Chicle Menta,4.0,36120.0,14448.0
7,63,Granola 250g,3.0,43370.0,13011.0
8,53,Lavandina 1L,5.0,16640.0,8320.0
8,18,Queso Rallado 150g,4.0,34440.0,13776.0
8,68,Vino Blanco 750ml,5.0,26840.0,13420.0
9,65,Cerveza Rubia 1L,4.0,24230.0,9692.0
10,36,Dulce de Leche 400g,2.0,25590.0,5118.0
10,100,Trapo de Piso,4.0,48540.0,19416.0
10,37,Mermelada de Durazno 400g,3.0,31960.0,9588.0
10,62,Stevia 100 sobres,1.0,38480.0,3848.0
11,13,Té Verde 20 saquitos,1.0,23830.0,2383.0
11,65,Cerveza Rubia 1L,2.0,24230.0,4846.0
11,28,Papas Fritas Clásicas 100g,1.0,9360.0,936.0
12,72,Ron 700ml,2.0,38760.0,7752.0
12,50,Azúcar 1kg,2.0,7270.0,1454.0
12,56,Papel Higiénico x4,3.0,25320.0,7596.0
12,87,Sopa Instantánea Pollo,3.0,16790.0,5037.0
12,38,Mermelada de Frutilla 400g,4.0,15840.0,6336.0
13,87,Sopa Instantánea Pollo,1.0,16790.0,1679.0
13,81,Aceitunas Verdes 200g,3.0,25200.0,7560.0
13,13,Té Verde 20 saquitos,1.0,23830.0,2383.0
14,36,Dulce de Leche 400g,4.0,25590.0,10236.0
14,72,Ron 700ml,5.0,38760.0,19380.0
14,38,Mermelada de Frutilla 400g,3.0,15840.0,4752.0
14,97,Limpiavidrios 500ml,1.0,8720.0,872.0
15,37,Mermelada de Durazno 400g,3.0,31960.0,9588.0
16,35,Barrita de Cereal 30g,5.0,44300.0,22150.0
17,81,Aceitunas Verdes 200g,5.0,25200.0,12600.0
17,46,Lentejas Secas 500g,5.0,30360.0,15180.0
17,74,Whisky 750ml,3.0,29530.0,8859.0
18,33,Chocolate con Leche 100g,2.0,12550.0,2510.0
18,4,Fanta Naranja 1.5L,5.0,20330.0,10165.0
18,24,Galletitas Chocolate,2.0,13050.0,2610.0
18,15,Leche Descremada 1L,3.0,25380.0,7614.0
18,22,Medialunas de Manteca,5.0,20690.0,10345.0
19,38,Mermelada de Frutilla 400g,2.0,15840.0,3168.0
19,98,Desengrasante 500ml,3.0,28430.0,8529.0
19,63,Granola 250g,3.0,43370.0,13011.0
20,32,Chocolate Amargo 100g,3.0,22340.0,6702.0
21,76,Pizza Congelada Muzzarella,5.0,42860.0,21430.0
21,35,Barrita de Cereal 30g,1.0,44300.0,4430.0
22,9,Yerba Mate Suave 1kg,2.0,38780.0,7756.0
22,28,Papas Fritas Clásicas 100g,3.0,9360.0,2808.0
22,24,Galletitas Chocolate,4.0,13050.0,5220.0
23,64,Avena Instantánea 250g,4.0,39530.0,15812.0
